sku,warehouse_id,current_stock,reserved_stock,reorder_point,safety_stock,lead_time_days,unit_cost,avg_daily_demand,days_since_last_sale,primary_vendor
SKU-001,WH-US-EAST,480,52,180,90,9,128.29,18,1,VENDOR-001
SKU-001,WH-US-WEST,210,15,150,75,14,128.29,12,2,VENDOR-001
SKU-001,WH-EU-CENTRAL,295,22,140,70,11,128.29,11,3,VENDOR-004
SKU-001,WH-ASIA-PACIFIC,360,28,160,80,7,128.29,14,1,VENDOR-001
SKU-002,WH-US-EAST,340,30,160,80,10,84.50,14,2,VENDOR-002
SKU-002,WH-US-WEST,265,18,140,70,12,84.50,11,2,VENDOR-005
SKU-002,WH-EU-CENTRAL,420,40,180,90,8,84.50,16,1,VENDOR-002
SKU-002,WH-ASIA-PACIFIC,180,12,140,70,13,84.50,10,4,VENDOR-005
SKU-003,WH-US-EAST,255,22,150,75,11,212.40,12,2,VENDOR-001
SKU-003,WH-US-WEST,175,14,140,70,14,212.40,9,3,VENDOR-001
SKU-003,WH-EU-CENTRAL,310,26,160,80,10,212.40,13,1,VENDOR-001
SKU-003,WH-ASIA-PACIFIC,220,18,140,70,9,212.40,11,2,VENDOR-001
SKU-004,WH-US-EAST,395,35,170,85,9,46.75,15,1,VENDOR-003
SKU-004,WH-US-WEST,49,5,130,65,12,46.75,8,5,VENDOR-003
SKU-004,WH-EU-CENTRAL,275,20,150,75,11,46.75,11,2,VENDOR-005
SKU-004,WH-ASIA-PACIFIC,310,24,160,80,10,46.75,13,1,VENDOR-005
SKU-005,WH-US-EAST,360,30,170,85,8,38.20,14,2,VENDOR-002
SKU-005,WH-US-WEST,245,20,140,70,11,38.20,11,2,VENDOR-005
SKU-005,WH-EU-CENTRAL,455,42,190,95,7,38.20,18,1,VENDOR-002
SKU-005,WH-ASIA-PACIFIC,290,22,150,75,12,38.20,12,3,VENDOR-005
SKU-006,WH-US-EAST,310,28,160,80,10,156.00,13,2,VENDOR-004
SKU-006,WH-US-WEST,260,22,150,75,13,156.00,11,2,VENDOR-004
SKU-006,WH-EU-CENTRAL,195,16,140,70,12,156.00,9,3,VENDOR-004
SKU-006,WH-ASIA-PACIFIC,375,30,170,85,8,156.00,15,1,VENDOR-004
SKU-007,WH-US-EAST,425,38,180,90,9,98.60,17,1,VENDOR-001
SKU-007,WH-US-WEST,180,12,140,70,14,98.60,9,3,VENDOR-001
SKU-007,WH-EU-CENTRAL,295,24,150,75,11,98.60,12,2,VENDOR-004
SKU-007,WH-ASIA-PACIFIC,340,28,160,80,8,98.60,14,1,VENDOR-001
SKU-008,WH-US-EAST,265,20,150,75,10,72.30,11,2,VENDOR-003
SKU-008,WH-US-WEST,175,14,140,70,13,72.30,9,3,VENDOR-003
SKU-008,WH-EU-CENTRAL,310,26,160,80,9,72.30,13,1,VENDOR-003
SKU-008,WH-ASIA-PACIFIC,225,18,140,70,11,72.30,10,2,VENDOR-003
SKU-009,WH-US-EAST,380,32,170,85,8,24.90,15,1,VENDOR-003
SKU-009,WH-US-WEST,210,16,140,70,11,24.90,10,2,VENDOR-003
SKU-009,WH-EU-CENTRAL,275,22,150,75,10,24.90,11,2,VENDOR-003
SKU-009,WH-ASIA-PACIFIC,62,5,130,98,14,24.90,7,5,VENDOR-003
SKU-010,WH-US-EAST,295,24,160,80,10,184.50,12,2,VENDOR-002
SKU-010,WH-US-WEST,85,8,130,93,12,184.50,8,4,VENDOR-002
SKU-010,WH-EU-CENTRAL,340,28,170,85,8,184.50,14,1,VENDOR-002
SKU-010,WH-ASIA-PACIFIC,205,16,140,70,11,184.50,9,3,VENDOR-002
